Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1901,-.22,-.12,.06,-.03,-.15,-.12,-.15,-.21,-.22,-.29,-.17,-.27,-.16,-.14,-.14,-.04,-.16,-.23
1902,-.16,-.09,-.27,-.28,-.33,-.32,-.28,-.31,-.29,-.30,-.37,-.42,-.28,-.27,-.17,-.29,-.30,-.32
1903,-.24,-.06,-.23,-.41,-.40,-.43,-.35,-.46,-.50,-.47,-.42,-.51,-.37,-.37,-.24,-.35,-.41,-.46
1904,-.63,-.59,-.51,-.51,-.52,-.49,-.51,-.50,-.56,-.39,-.18,-.33,-.48,-.49,-.58,-.51,-.50,-.38
1905,-.35,-.59,-.22,-.34,-.29,-.29,-.26,-.21,-.19,-.25,-.07,-.13,-.27,-.28,-.43,-.28,-.25,-.17
1906,-.29,-.30,-.19,-.05,-.26,-.20,-.23,-.20,-.29,-.20,-.38,-.15,-.23,-.23,-.24,-.17,-.21,-.29
1907,-.43,-.51,-.27,-.37,-.47,-.43,-.35,-.35,-.35,-.23,-.47,-.47,-.39,-.36,-.36,-.37,-.37,-.35
1908,-.45,-.33,-.56,-.44,-.37,-.38,-.35,-.47,-.36,-.44,-.52,-.49,-.43,-.43,-.42,-.46,-.40,-.44
1909,-.73,-.46,-.55,-.59,-.55,-.53,-.46,-.34,-.39,-.40,-.32,-.56,-.49,-.48,-.56,-.56,-.44,-.37
1910,-.42,-.41,-.50,-.43,-.35,-.39,-.35,-.37,-.39,-.41,-.58,-.68,-.44,-.43,-.47,-.43,-.37,-.46
1911,-.63,-.58,-.61,-.55,-.52,-.51,-.43,-.44,-.41,-.27,-.22,-.22,-.45,-.49,-.63,-.56,-.46,-.30
1912,-.27,-.16,-.39,-.19,-.22,-.25,-.43,-.55,-.58,-.59,-.40,-.44,-.37,-.35,-.22,-.27,-.41,-.52
1913,-.41,-.46,-.44,-.40,-.44,-.46,-.37,-.34,-.35,-.32,-.21,-.03,-.35,-.39,-.44,-.43,-.39,-.29
1914,.03,-.10,-.25,-.30,-.22,-.26,-.24,-.16,-.17,-.04,-.16,-.04,-.16,-.16,-.03,-.26,-.22,-.12
1915,-.21,-.04,-.10,.06,-.06,-.22,-.13,-.23,-.20,-.24,-.13,-.21,-.14,-.13,-.10,-.03,-.19,-.19
1916,-.13,-.15,-.28,-.30,-.35,-.49,-.37,-.28,-.36,-.34,-.47,-.82,-.36,-.31,-.16,-.31,-.38,-.39
1917,-.57,-.63,-.63,-.55,-.55,-.44,-.26,-.23,-.23,-.45,-.34,-.68,-.46,-.47,-.67,-.58,-.31,-.34
1918,-.48,-.35,-.25,-.44,-.43,-.37,-.32,-.32,-.18,-.06,-.12,-.30,-.30,-.33,-.50,-.38,-.34,-.12
1919,-.21,-.23,-.21,-.13,-.28,-.36,-.29,-.34,-.25,-.21,-.42,-.43,-.28,-.27,-.25,-.21,-.33,-.29
1920,-.25,-.27,-.12,-.25,-.27,-.36,-.31,-.27,-.22,-.27,-.27,-.47,-.28,-.27,-.32,-.22,-.31,-.25
1921,-.05,-.18,-.23,-.30,-.31,-.27,-.15,-.27,-.19,-.03,-.15,-.18,-.19,-.22,-.24,-.28,-.23,-.12
1922,-.34,-.45,-.15,-.23,-.33,-.31,-.27,-.33,-.35,-.32,-.14,-.20,-.28,-.28,-.32,-.24,-.30,-.27
1923,-.27,-.39,-.34,-.41,-.33,-.29,-.31,-.34,-.31,-.14,-.03,-.04,-.27,-.28,-.29,-.36,-.32,-.16
1924,-.23,-.23,-.09,-.30,-.19,-.27,-.29,-.36,-.32,-.35,-.21,-.43,-.27,-.24,-.17,-.19,-.31,-.29
1925,-.38,-.39,-.27,-.26,-.29,-.33,-.27,-.21,-.20,-.18,.05,.06,-.22,-.26,-.40,-.28,-.27,-.11
1926,.21,.02,.11,-.13,-.24,-.27,-.27,-.14,-.15,-.12,-.07,-.30,-.11,-.08,.10,-.09,-.23,-.11
1927,-.27,-.18,-.39,-.31,-.26,-.28,-.19,-.24,-.13,-.01,-.06,-.33,-.22,-.22,-.25,-.32,-.24,-.07
1928,-.02,-.09,-.25,-.29,-.30,-.39,-.20,-.23,-.21,-.19,-.10,-.17,-.20,-.22,-.15,-.28,-.27,-.17
1929,-.45,-.58,-.33,-.42,-.38,-.44,-.37,-.33,-.26,-.15,-.12,-.55,-.36,-.33,-.40,-.38,-.38,-.17
1930,-.30,-.27,-.10,-.25,-.24,-.22,-.21,-.15,-.16,-.12,.17,-.06,-.16,-.20,-.37,-.20,-.20,-.03
1931,-.10,-.21,-.10,-.23,-.19,-.08,-.03,-.04,-.06,.05,-.06,-.05,-.09,-.09,-.12,-.18,-.05,-.02
1932,.15,-.17,-.18,-.06,-.18,-.29,-.25,-.22,-.10,-.09,-.27,-.26,-.16,-.14,-.02,-.14,-.25,-.15
1933,-.23,-.29,-.29,-.24,-.29,-.34,-.21,-.24,-.29,-.25,-.31,-.44,-.29,-.27,-.26,-.27,-.26,-.28
1934,-.21,-.02,-.29,-.30,-.09,-.15,-.10,-.12,-.15,-.06,.03,-.02,-.12,-.16,-.23,-.23,-.12,-.06
1935,-.34,.15,-.14,-.37,-.29,-.27,-.21,-.22,-.21,-.06,-.26,-.17,-.20,-.19,-.07,-.26,-.23,-.18
1936,-.27,-.37,-.21,-.20,-.16,-.22,-.09,-.13,-.09,-.02,.01,-.01,-.15,-.16,-.27,-.19,-.15,-.03
1937,-.07,.03,-.20,-.15,-.05,-.05,-.03,.01,.10,.09,.08,-.07,-.03,-.02,-.02,-.14,-.02,.09
1938,.09,.04,.10,.06,-.09,-.17,-.09,-.05,.01,.15,.08,-.12,.00,.00,.02,.02,-.11,.08
1939,-.05,-.06,-.17,-.10,-.04,-.07,-.05,-.06,-.07,-.04,.07,.43,-.02,-.06,-.08,-.10,-.06,-.01
1940,.00,.08,.09,.17,.11,.12,.12,.07,.15,.11,.16,.31,.12,.13,.17,.12,.10,.14
1941,.18,.30,.10,.16,.17,.13,.22,.15,.02,.35,.23,.22,.19,.19,.27,.14,.16,.20
